

Data generated at Sun Feb 24 15:52:55 2019




Data generated at Sun Feb 24 15:53:07 2019




Data generated at Sun Feb 24 15:53:18 2019




Data generated at Sun Feb 24 15:59:39 2019


SEE, SEI, SIE, SII 3.25844 -5.53888 6.5485 -5.05825 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.29606 -5.55598 4.76858 -5.75228 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.25576 -5.68767 3.03916 -5.60774 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.78371 -5.7346 5.52964 -5.23863 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.87997 -5.36348 4.29104 -5.4442 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.4918 -5.37148 5.78549 -5.49842 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.55115 -5.58862 3.28781 -5.05368 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.04862 -5.29909 3.23837 -5.67655 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.21735 -5.28554 5.16104 -5.73634 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.69204 -5.96826 2.09922 -5.35804 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.83022 -5.11765 7.65982 -5.9207 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.74905 -5.69044 2.20056 -5.57438 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 16:20:15 2019


SEE, SEI, SIE, SII 4.03685 -5.32828 3.28899 -5.83924 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.47813 -5.41211 4.98486 -5.29848 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.07117 -5.28464 4.27626 -5.2482 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.93807 -5.29197 4.56995 -5.01015 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 2.71982 -5.61597 3.97151 -5.60452 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.97861 -5.87642 7.09589 -5.68353 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.94602 -5.65438 2.05078 -5.44619 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.00882 -5.60683 7.60659 -5.76575 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.64871 -5.082 4.23251 -5.45894 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.79161 -5.68046 3.6637 -5.50294 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.61244 -5.20032 4.49096 -5.29965 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.30147 -5.99 3.63708 -5.52378 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:10:58 2019


SEE, SEI, SIE, SII 3.89566 -5.02145 5.97683 -5.07282 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.09716 -5.63901 6.21876 -5.19996 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.28409 -5.8222 5.30018 -5.36032 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.11927 -5.2763 2.79215 -5.55404 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.59766 -5.79082 4.79787 -5.25865 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.21193 -5.17163 4.07057 -5.26005 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.71939 -5.39555 3.7234 -5.71355 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.09992 -5.47849 3.77045 -5.68837 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.7629 -5.29349 7.01313 -5.97419 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.66548 -5.5028 3.91241 -5.00186 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.31108 -5.02199 5.659 -5.23235 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 4.54464 -5.41157 4.03391 -5.83869 kickE, kickI 5000 5000 | E_spike, I_spike 0 0


Data generated at Sun Feb 24 17:14:24 2019


SEE, SEI, SIE, SII 4.295 -5.81581 2.81313 -5.02259 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.95327 -5.78449 4.76993 -5.16007 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 6.65543 -5.58313 5.7221 -5.08761 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.01205 -5.39511 5.8569 -5.155 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.73253 -5.32818 2.78389 -5.25083 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 7.69614 -5.55037 2.21091 -5.1541 kickE, kickI 5000 5000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 3.83166 -5.63041 7.48526 -5.92534 kickE, kickI 1000 1000 | E_spike, I_spike 0 0
SEE, SEI, SIE, SII 5.55703 -5.55325 6.33646 -5.31149 kickE, kickI 3000 3000 | E_spike, I_spike 0 0
