Data generated at Sun Jun  2 11:05:05 2019


SEE, SIE, SEI, SII | 2.05021 2.2621 -5.15568 -5.72008 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.4019 6.44007 -5.85936 -5.65827 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.03683 7.19411 -5.76224 -5.90885 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.49868 6.51668 -5.24337 -5.20397 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 7.46707 4.01399 -5.86834 -5.36339 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.63913 7.6396 -5.57939 -5.67895 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.27123 6.3433 -5.73238 -5.42421 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.12405 5.41045 -5.94823 -5.07942 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.5314 5.63627 -5.22468 -5.1909 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.87825 3.69255 -5.623 -5.854 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.55837 3.06386 -5.69218 -5.81111 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.02783 6.6533 -5.38428 -5.49363 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.00524 7.0204 -5.77588 -5.49596 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.09232 3.13039 -5.48109 -5.55247 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.20816 5.8828 -5.85951 -5.30924 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.99159 7.98443 -5.06388 -5.02949 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.64301 2.22304 -5.31172 -5.42016 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 5.52697 7.06715 -5.15581 -5.75038 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 4.25112 3.20349 -5.02969 -5.41187 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 3.04022 6.61065 -5.33707 -5.36863 | kickE, kickI 1000 1000
SEE, SIE, SEI, SII | 2.05021 2.2621 -5.15568 -5.72008 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.4019 6.44007 -5.85936 -5.65827 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.03683 7.19411 -5.76224 -5.90885 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.49868 6.51668 -5.24337 -5.20397 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 7.46707 4.01399 -5.86834 -5.36339 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.63913 7.6396 -5.57939 -5.67895 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.27123 6.3433 -5.73238 -5.42421 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.12405 5.41045 -5.94823 -5.07942 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.5314 5.63627 -5.22468 -5.1909 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.87825 3.69255 -5.623 -5.854 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.55837 3.06386 -5.69218 -5.81111 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.02783 6.6533 -5.38428 -5.49363 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.00524 7.0204 -5.77588 -5.49596 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.09232 3.13039 -5.48109 -5.55247 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.20816 5.8828 -5.85951 -5.30924 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.99159 7.98443 -5.06388 -5.02949 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.64301 2.22304 -5.31172 -5.42016 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 5.52697 7.06715 -5.15581 -5.75038 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 4.25112 3.20349 -5.02969 -5.41187 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 3.04022 6.61065 -5.33707 -5.36863 | kickE, kickI 3000 3000
SEE, SIE, SEI, SII | 2.05021 2.2621 -5.15568 -5.72008 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.4019 6.44007 -5.85936 -5.65827 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 3.03683 7.19411 -5.76224 -5.90885 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 4.49868 6.51668 -5.24337 -5.20397 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 7.46707 4.01399 -5.86834 -5.36339 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.63913 7.6396 -5.57939 -5.67895 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.27123 6.3433 -5.73238 -5.42421 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.12405 5.41045 -5.94823 -5.07942 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 5.5314 5.63627 -5.22468 -5.1909 | kickE, kickI 5000 5000
SEE, SIE, SEI, SII | 2.87825 3.69255 -5.623 -5.854 | kickE, kickI 5000 5000
